timestamp,dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,tot_fwd_bytes,tot_bwd_bytes,fwd_pkt_len_mean,bwd_pkt_len_mean,flow_iat_mean,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,fin_flag_cnt,label,is_synthetic
2026-03-15 08:00:00.164373629,80,6,114050.09863438588,4,17,1377,7747,319.2539867201621,807.1257330531558,12826.794865455257,1,0,1,1,0,Benign,True
2026-03-15 08:00:01.163327063,80,17,125407.41120593749,14,4,5789,1068,127.59080517916702,998.5530640435952,11183.355957190319,1,1,1,1,0,Benign,True
2026-03-15 08:00:02.615158751,80,6,174281.62904200962,21,23,1340,10951,557.3329725670857,258.1623800133351,5592.463792534758,0,0,0,1,1,Benign,True
2026-03-15 08:00:03.718420817,80,6,182511.41690545215,5,9,5957,3457,278.4852725782389,576.7840806349278,183.43163907718548,1,1,1,1,0,Benign,True
2026-03-15 08:00:04.556506408,53,6,53599.282763620344,4,13,4091,10804,345.2194576161417,1027.9348394466435,3456.1103102242187,0,0,0,1,0,Benign,True
2026-03-15 08:00:06.285373410,53,6,177417.78488648598,19,19,7055,6166,126.52823656744256,517.6169069655662,5052.985495225975,1,0,0,1,0,Benign,True
2026-03-15 08:00:07.356683821,443,17,10543.996324175474,23,13,250,611,494.0894500299504,656.7521367594327,9425.064981917098,0,0,1,1,0,Benign,True
2026-03-15 08:00:08.571638583,80,17,114754.47511867214,17,3,7547,1617,488.21113763021407,620.4349318225148,3698.475938482431,0,0,0,1,0,Benign,True
2026-03-15 08:00:09.376868179,80,6,194506.2058148067,15,22,3090,6544,341.0209635157916,787.7153654084409,2180.081508215111,0,0,1,1,1,Benign,True
2026-03-15 08:00:10.770231562,80,6,193365.2665073044,7,29,168,2112,245.91973070618187,744.3664758531748,1364.0833627635213,0,0,1,1,0,Benign,True
2026-03-15 08:00:11.922478814,53,6,26796.508048557676,10,16,6925,7066,71.32688942569202,475.39822272262927,10334.784007229175,0,0,0,1,0,Benign,True
2026-03-15 08:00:13.456058993,80,17,107192.98167949017,2,4,958,4454,399.0663049245521,886.631885258194,4025.4888401547355,0,0,1,1,0,Benign,True
2026-03-15 08:00:14.486319072,80,17,38266.618660513544,12,22,1380,11770,398.49589894061967,757.7737705881615,9787.427088981698,1,0,1,1,0,Benign,True
2026-03-15 08:00:15.793656967,80,6,144331.9516834289,6,11,7486,4388,276.6095589642479,170.61461100802865,6824.079473332612,0,0,1,1,0,Benign,True
2026-03-15 08:00:16.766048519,22,6,114322.3339296723,9,9,7148,12765,377.38991885396234,584.633133387713,5250.885756697784,0,1,0,1,0,Benign,True
2026-03-15 08:00:17.836343233,8080,6,85396.02162591944,7,29,4282,10660,241.14329155793135,483.51270616246376,6518.87417868643,0,0,1,1,0,Benign,True
2026-03-15 08:00:19.232750872,80,17,144031.99196324006,18,4,2210,10674,382.13145854828423,1017.3578911960469,2127.477446318275,0,0,0,1,0,Benign,True
2026-03-15 08:00:20.138290353,8080,6,30168.521599807646,24,14,7722,14848,323.315207517924,628.0891594991832,8426.024397490104,0,0,1,1,0,Benign,True
2026-03-15 08:00:21.796578703,22,17,169287.07418710724,2,16,403,7448,253.91359303920535,742.5041039753012,3790.4022102834188,0,0,1,1,0,Benign,True
2026-03-15 08:00:22.878998639,8080,6,89208.66657313344,23,7,2315,8562,121.72398459775236,641.1140575831813,1790.1295193533924,0,0,0,1,0,Benign,True
2026-03-15 08:00:24.154852644,22,6,163790.53132343644,13,24,1921,6688,82.05005315458692,539.6524860965027,10063.628317416473,1,0,1,1,0,Benign,True
2026-03-15 08:00:25.112715580,443,17,158441.78496287455,5,5,4111,1549,565.0348997076934,1158.4143550274612,9282.233644877171,0,0,0,1,0,Benign,True
2026-03-15 08:00:26.682418814,443,6,183995.5943647736,22,29,5259,12419,310.0279622086494,339.6743374954247,13285.24338144878,0,0,1,1,0,Benign,True
2026-03-15 08:00:27.835872672,80,6,15388.611418277696,5,24,3838,752,55.719206671815904,585.8999569733738,3397.240216241712,0,0,0,1,0,Benign,True
2026-03-15 08:00:28.967030098,8080,17,150109.4712194013,17,13,615,5980,190.31588205832017,504.082392347713,1390.9239652002186,1,0,1,1,1,Benign,True
2026-03-15 08:00:29.816783224,8080,6,178210.46765210087,13,21,7224,13942,548.3691495469775,1189.7739777297195,2061.9836053536474,1,0,1,1,0,Benign,True
2026-03-15 08:00:31.180032602,22,6,100165.28798250858,6,25,4243,9137,444.6161405066149,161.30856716547333,10427.156904815993,1,0,1,1,0,Benign,True
2026-03-15 08:00:32.126282259,80,6,190430.32386136832,22,5,1240,10439,323.26541407165445,665.9092382889116,10626.696807150254,0,0,0,1,0,Benign,True
2026-03-15 08:00:33.392573695,443,6,119716.26455626116,4,11,1596,12778,364.26461415798786,519.475612244109,3822.3876374120873,0,1,1,1,0,Benign,True
2026-03-15 08:00:34.909829371,22,6,76119.89063096538,8,13,4557,5186,124.51506298445918,873.7425041910217,13108.160616865995,1,0,0,1,0,Benign,True
2026-03-15 08:00:36.146857293,22,6,145546.6043096367,23,15,4034,11146,472.6212309744623,1107.9669579140007,11471.914734185097,0,0,0,1,0,Benign,True
2026-03-15 08:00:37.480505839,8080,6,101839.18576826746,21,14,4593,5353,398.0679145632962,652.8584576278805,2022.8289511840223,1,0,0,1,0,Benign,True
2026-03-15 08:00:38.295495214,80,6,176292.48146487493,18,9,555,4818,434.13793553139976,384.1005002291298,3146.673849708094,0,0,0,1,0,Benign,True
2026-03-15 08:00:39.522275823,22,6,174461.97781291517,10,20,3542,11346,137.06300592573513,1060.2449235678982,4208.2158359098485,0,1,0,1,0,Benign,True
2026-03-15 08:00:40.781733486,22,6,27103.166433508417,9,11,4868,1186,484.1910895560077,237.2843651539905,8397.319312305139,1,0,0,1,0,Benign,True
2026-03-15 08:00:41.813682815,8080,6,39338.998523959206,4,22,5140,14440,156.90307383947936,799.9705934104272,3256.3334757318194,0,0,0,1,1,Benign,True
2026-03-15 08:00:42.977952903,22,6,90230.00113855694,5,10,1742,1968,426.9057812970139,449.01223730636207,7964.522809826392,0,0,0,1,0,Benign,True
2026-03-15 08:00:44.385422955,22,17,79301.76387942632,4,14,7429,2219,270.2457572237789,563.4499764524868,1725.4404587945517,1,0,0,1,0,Benign,True
2026-03-15 08:00:45.436145609,22,6,115215.50079291649,21,22,4034,10550,509.2686310110779,986.5941562254683,3461.577143054478,0,0,0,1,0,Benign,True
2026-03-15 08:00:46.901888396,22,6,59415.04471527781,3,9,7398,7464,193.18761557483853,820.7166146584675,11226.28364362268,0,0,1,1,0,Benign,True
2026-03-15 08:00:47.962291151,80,17,143167.24267967505,18,21,2242,825,518.9745340096649,344.45581754858046,11066.098781818677,1,0,0,1,0,Benign,True
2026-03-15 08:00:49.399606917,53,6,113903.26356945583,15,4,207,872,482.5761254566559,542.9362909581046,3777.512070374997,0,0,0,1,1,Benign,True
2026-03-15 08:00:50.520159061,80,6,177756.50147457374,24,27,2148,404,51.50409933576057,1189.861665849742,3988.991021158689,0,0,0,1,1,Benign,True
2026-03-15 08:00:51.487419984,8080,17,88674.43904803878,7,14,1591,5736,368.37545792827984,1102.9202775210006,4972.137803074307,0,0,1,1,0,Benign,True
2026-03-15 08:00:52.999355880,443,6,117957.31563767875,3,26,4666,11453,123.12810903542749,264.4822469514823,11306.393297801571,0,0,1,1,0,Benign,True
2026-03-15 08:00:54.182858614,8080,17,61140.071607874066,3,29,2043,6840,64.8961868043731,310.3267853916192,5202.282835961381,1,0,0,1,0,Benign,True
2026-03-15 08:00:55.132487027,443,17,198480.44363074086,8,9,5681,11573,291.2645624114058,255.6667643968882,1931.8753803916068,0,0,1,1,1,Benign,True
2026-03-15 08:00:56.272996862,80,17,184636.9013377517,18,16,5393,4030,513.6400693374612,100.50410655308565,8436.689724347112,1,0,1,1,0,Benign,True
2026-03-15 08:00:57.709497302,22,6,32405.554577752046,3,5,3140,6663,120.96780447099816,1057.9995933654354,3522.9997465306265,0,0,0,1,1,Benign,True
2026-03-15 08:00:58.583851490,22,6,138221.0866405608,18,17,6138,7625,385.2834691918354,1084.110229070769,10519.754397842233,0,0,1,1,0,Benign,True
2026-03-15 08:00:59.819944921,80,6,151644.0683854465,12,13,7755,406,499.61204039798906,746.005142647813,11265.046622254034,0,0,0,1,0,Benign,True
2026-03-15 08:01:00.904417361,22,6,172837.78808944236,9,15,5446,3961,428.06611771157253,555.6732363869173,12069.908047998222,1,0,0,1,0,Benign,True
2026-03-15 08:01:02.572154626,80,17,3976.2980170234064,11,25,1048,14976,129.52315450930922,894.6613734308268,1673.5113839317146,1,0,0,1,0,Benign,True
2026-03-15 08:01:03.698910513,443,6,51695.04081473913,11,15,1450,1851,591.7657170122995,202.938602539749,6237.696306963985,1,0,0,1,1,Benign,True
2026-03-15 08:01:04.923099227,443,17,85868.78723774498,2,18,248,3164,399.41540554036374,724.6362634922161,3103.6837118492103,0,0,0,1,1,Benign,True
2026-03-15 08:01:06.168437418,22,6,158597.14276720272,12,8,3995,2006,433.37176098459935,965.0262623308848,5851.899650927441,0,0,0,1,0,Benign,True
2026-03-15 08:01:07.175349465,80,6,14863.155344623397,4,9,351,14089,214.37433679044716,813.1510492335303,14839.605210364358,0,0,1,1,0,Benign,True
2026-03-15 08:01:08.441244717,22,6,191778.882214368,14,23,2116,6478,226.16910425821862,1067.2259437703583,2123.2088018362474,1,0,1,1,1,Benign,True
2026-03-15 08:01:09.383878198,80,6,169031.1648207439,6,1,3034,3828,325.60906211792616,555.9983148584662,10277.47803387699,0,0,1,1,0,Benign,True
2026-03-15 08:01:10.568718044,443,6,132276.12729384942,5,26,4021,8988,501.711191894024,313.86776161358654,5356.860599795107,1,0,1,1,0,Benign,True
2026-03-15 08:01:12.101041777,8080,6,178529.2322393351,3,26,6572,5657,196.48638472290511,450.92949132624483,1935.092729506053,1,0,0,1,0,Benign,True
2026-03-15 08:01:13.182657723,53,6,24917.82952749775,9,14,7140,7513,133.40643974132934,666.0014405369388,9129.061152366541,0,0,1,1,0,Benign,True
2026-03-15 08:01:14.439141663,80,6,167914.58967873568,16,19,5958,6204,390.12028220437276,572.3811629859531,5964.141167564812,0,0,0,1,0,Benign,True
2026-03-15 08:01:15.758999314,22,6,7397.046831987179,7,8,1276,11328,363.64951998939017,979.0309463018743,8186.051861273397,1,0,0,1,1,Benign,True
2026-03-15 08:01:16.880830992,22,17,158606.04610869408,15,12,2755,4489,242.78861727457104,129.10107150855217,226.07663443103047,0,0,1,1,0,Benign,True
2026-03-15 08:01:18.032147640,53,6,138538.3343826823,6,1,3578,4210,475.3399295210716,1097.3739014295152,6631.215283939966,0,0,1,1,0,Benign,True
2026-03-15 08:01:19.235524296,22,17,118421.02296802377,3,18,7292,14405,217.65921482105125,792.8926896905623,12497.819270975579,0,0,0,1,0,Benign,True
2026-03-15 08:01:20.282370058,8080,6,93204.94033004901,22,29,572,7842,255.69633619297207,510.22423916653133,8264.305264135437,0,0,0,1,0,Benign,True
2026-03-15 08:01:21.318490700,443,6,131243.30616397166,3,3,4114,1607,442.78167479645276,924.4115914855415,12709.286864845644,0,0,1,1,0,Benign,True
2026-03-15 08:01:22.762030433,53,6,111326.81996761414,13,23,7816,3012,351.1987943351822,240.23603939573798,6168.053895435779,0,0,0,1,1,Benign,True
2026-03-15 08:01:23.828750803,8080,6,190035.60455725982,14,20,3481,12837,134.04429428879405,385.8034239060805,5137.475161875927,0,0,0,1,0,Benign,True
2026-03-15 08:01:25.145117186,8080,17,25139.49833918543,2,29,3036,9941,564.4125122367535,618.4720828722844,597.6966996442762,0,0,0,1,1,Benign,True
2026-03-15 08:01:26.612041843,80,6,99037.26067842417,19,17,5004,1992,585.3043499504424,516.8208086043383,2518.6666579306734,0,0,1,1,1,Benign,True
2026-03-15 08:01:27.440363691,443,6,198124.28683407573,4,21,1251,5220,376.68215451369696,150.93397243354013,3403.0691043158586,0,0,1,1,1,Benign,True
2026-03-15 08:01:28.534981645,53,6,81850.26076731649,18,10,1245,568,170.6881512807714,434.00917126445853,3303.823157125976,0,0,1,1,0,Benign,True
